엔비디아 (NVDA)
애플 (AAPL)
알파벳 (GOOGL)
마이크로소프트 (MSFT)
아마존 (AMZN)
브로드컴 (AVGO)
테슬라 (TSLA)
메타 (META)
일라이릴리 (LLY)
마이크론테크놀로지 (MU)
버크셔해서웨이 (BRK-B)
JP모건체이스 (JPM)
월마트 (WMT)
AMD (AMD)
비자 (V)
엑슨모빌 (XOM)
존슨앤드존슨 (JNJ)
마스터카드 (MA)
인텔 (INTC)
애브비 (ABBV)
시스코시스템즈 (CSCO)
팔란티어 (PLTR)
뱅크오브아메리카 (BAC)
오라클 (ORCL)
코스트코 (COST)
셰브런 (CVX)
램리서치 (LRCX)
코카콜라 (KO)
어플라이드머티어리얼즈 (AMAT)
캐터필러 (CAT)
삼성전자 (005930)
SK하이닉스 (000660)
SK스퀘어 (402340)
현대차 (005380)
삼성전기 (009150)
LG에너지솔루션 (373220)
삼성바이오로직스 (207940)
삼성물산 (028260)
삼성생명 (032830)
KB금융 (105560)
한화에어로스페이스 (012450)
기아 (000270)
신한지주 (055550)
HD현대중공업 (329180)
두산에너빌리티 (034020)
현대모비스 (012330)
셀트리온 (068270)
삼성SDI (006400)
LG전자 (066570)
하나금융지주 (086790)
NAVER (035420)
SK (034730)
삼성화재 (000810)
LS ELECTRIC (010120)
HD현대일렉트릭 (267260)
한화오션 (042660)
효성중공업 (298040)
고려아연 (010130)
HD한국조선해양 (009540)
POSCO홀딩스 (005490)
